WMT
Index,DJIA S&P500,P/E,47.38,EPS (ttm),2.86,Insider Own,1.20%,Shs Outstand,2.79B,Perf Week,-2.87%
Market Cap,377.47B,Forward P/E,20.21,EPS next Y,6.70,Insider Trans,-59.34%,Shs Float,1.39B,Perf Month,-5.65%
Income,8.02B,PEG,5.71,EPS next Q,1.50,Inst Own,32.00%,Short Float,0.91%,Perf Quarter,-8.87%
Sales,571.96B,P/S,0.66,EPS this Y,-8.50%,Inst Trans,-0.25%,Short Ratio,1.33,Perf Half Y,-9.50%
Book/sh,29.54,P/B,4.58,EPS next Y,4.36%,ROA,3.30%,Target Price,168.06,Perf Year,-6.33%
Cash/sh,5.78,P/C,23.43,EPS next 5Y,8.30%,ROE,10.00%,52W Range,126.28 - 152.57,Perf YTD,-6.47%
Dividend,2.20,P/FCF,29.59,EPS past 5Y,0.80%,ROI,5.60%,52W High,-12.40%,Beta,0.53
Dividend %,1.63%,Quick Ratio,0.30,Sales past 5Y,3.00%,Gross Margin,25.00%,52W Low,5.84%,ATR,2.56
Employees,2300000,Current Ratio,0.90,Sales Q/Q,4.30%,Oper. Margin,2.80%,RSI (14),31.16,Volatility,1.48% 1.93%
Optionable,Yes,Debt/Eq,0.52,EPS Q/Q,-38.40%,Profit Margin,1.40%,Rel Volume,0.85,Prev Close,135.33
Shortable,Yes,LT Debt/Eq,0.49,Earnings,Feb 17 BMO,Payout,76.20%,Avg Volume,9.58M,Price,133.65
Recom,1.90,SMA20,-4.07%,SMA50,-5.06%,SMA200,-6.26%,Volume,"1,267,313",Change,-1.24%
MMM
Index,DJIA S&P500,P/E,15.77,EPS (ttm),10.11,Insider Own,0.12%,Shs Outstand,575.10M,Perf Week,-0.74%
Market Cap,91.23B,Forward P/E,14.41,EPS next Y,11.07,Insider Trans,0.00%,Shs Float,566.02M,Perf Month,-11.08%
Income,5.92B,PEG,2.11,EPS next Q,2.46,Inst Own,68.80%,Short Float,1.74%,Perf Quarter,-11.47%
Sales,35.35B,P/S,2.58,EPS this Y,8.10%,Inst Trans,-0.39%,Short Ratio,3.69,Perf Half Y,-20.46%
Book/sh,26.16,P/B,6.10,EPS next Y,6.92%,ROA,12.40%,Target Price,182.42,Perf Year,-10.72%
Cash/sh,8.33,P/C,19.15,EPS next 5Y,7.47%,ROE,41.00%,52W Range,158.80 - 208.95,Perf YTD,-10.18%
Dividend,5.92,P/FCF,37.53,EPS past 5Y,4.40%,ROI,18.70%,52W High,-25.22%,Beta,0.95
Dividend %,3.71%,Quick Ratio,1.20,Sales past 5Y,3.30%,Gross Margin,46.90%,52W Low,-1.61%,ATR,3.77
Employees,95000,Current Ratio,1.70,Sales Q/Q,0.30%,Oper. Margin,20.80%,RSI (14),27.56,Volatility,1.75% 2.37%
